drug_id,partner_id,gene_name,substrate,inducer,inhibitor
DB00728,BE0003648,SLC22A1,1,0,0
DB00728,BE0003642,SLCO1A2,1,0,0
DB00731,BE0001188,ABCC4,1,0,0
DB00731,BE0000669,SLC16A1,1,0,0
DB00731,BE0001018,SLC15A1,0,0,1
DB00731,BE0001134,SLC15A2,0,0,1
DB00731,BE0001066,SLC22A6,0,0,1
DB00734,BE0001032,ABCB1,1,0,0
DB00736,BE0001032,ABCB1,1,0,1
DB00736,BE0003645,SLC22A8,0,0,1
DB00740,BE0001067,ABCG2,1,0,0
DB00741,BE0001032,ABCB1,1,1,0
DB00741,BE0003642,SLCO1A2,0,0,1
DB00741,BE0003645,SLC22A8,1,0,0
DB00742,BE0001032,ABCB1,1,0,0
DB00747,BE0001032,ABCB1,0,0,1
DB00749,BE0001066,SLC22A6,0,0,1
DB00751,BE0001032,ABCB1,1,0,0
DB00755,BE0000508,CRABP1,1,0,0
DB00755,BE0000782,CRABP2,1,0,0
DB00758,BE0001032,ABCB1,1,0,0
DB00758,BE0003648,SLC22A1,0,0,1
DB00758,BE0003647,SLC22A2,0,0,1
DB00759,BE0001066,SLC22A6,0,0,1
DB00759,BE0003645,SLC22A8,1,0,1
DB00759,BE0000879,SLC22A11,0,0,1
DB00759,BE0003646,SLC22A7,0,0,1
DB00759,BE0001042,SLCO2B1,0,0,1
DB00761,BE0000281,SLC12A2,1,0,0
DB00761,BE0000502,SLC12A1,1,0,0
DB00761,BE0000047,SLC12A5,1,0,0
DB00761,BE0000140,SLC12A6,1,0,0
DB00761,BE0000276,SLC12A7,1,0,0
DB00761,BE0000601,SLC12A4,1,0,0
DB00762,BE0003650,SLC22A3,0,0,1
DB00762,BE0001004,SLCO1B1,0,0,1
DB00762,BE0000785,ABCC1,1,0,0
DB00762,BE0001067,ABCG2,1,0,0
DB00762,BE0001032,ABCB1,1,0,0
DB00762,BE0001069,ABCC2,1,0,0
DB00766,BE0004754,SLC5A1,0,1,0
DB00768,BE0001032,ABCB1,1,0,0
DB00770,BE0003639,ABCC5,0,0,1
