UniProtId,Label,Gene_Name,hgnc_symbol
P0C7U0,reviewed,ELFN1_HUMAN,ELFN1
C9J069,reviewed,AJM1_HUMAN,AJM1
O60635,reviewed,TSN1_HUMAN,TSN1
Q0P641,reviewed,CB080_HUMAN,CB080
P0DMU7,reviewed,CT456_HUMAN,CT456
Q7L0Q8,reviewed,RHOU_HUMAN,RHOU
Q96M89,reviewed,CC138_HUMAN,CC138
Q6NX49,reviewed,ZN544_HUMAN,ZN544
P04066,reviewed,FUCO_HUMAN,FUCO
P19835,reviewed,CEL_HUMAN,CEL
Q8WZ42,reviewed,TITIN_HUMAN,TITIN
O43174,reviewed,CP26A_HUMAN,CP26A
P00403,reviewed,COX2_HUMAN,COX2
Q02045,reviewed,MYL5_HUMAN,MYL5
Q58EX2,reviewed,SDK2_HUMAN,SDK2
Q8TBG9,reviewed,SYNPR_HUMAN,SYNPR
Q7L311,reviewed,ARMX2_HUMAN,ARMX2
Q96A54,reviewed,PAQR1_HUMAN,PAQR1
Q8NC74,reviewed,RB8NL_HUMAN,RB8NL
P0C7U1,reviewed,ASA2B_HUMAN,ASA2B
Q3Y452,reviewed,TDRG1_HUMAN,TDRG1
P43487,reviewed,RANG_HUMAN,RANG
Q5VTB9,reviewed,RN220_HUMAN,RN220
Q96JK9,reviewed,MAML3_HUMAN,MAML3
Q8TAI7,reviewed,REBL1_HUMAN,REBL1
Q5NDL2,reviewed,EOGT_HUMAN,EOGT
O43829,reviewed,ZBT14_HUMAN,ZBT14
Q5U5Q3,reviewed,MEX3C_HUMAN,MEX3C
P03915,reviewed,NU5M_HUMAN,NU5M
B2RV13,reviewed,CF97D_HUMAN,CF97D
P62760,reviewed,VISL1_HUMAN,VISL1
Q96M86,reviewed,DNHD1_HUMAN,DNHD1
P42701,reviewed,I12R1_HUMAN,I12R1
Q13094,reviewed,LCP2_HUMAN,LCP2
O43173,reviewed,SIA8C_HUMAN,SIA8C
Q4G112,reviewed,HSF5_HUMAN,HSF5
Q969H4,reviewed,CNKR1_HUMAN,CNKR1
Q96A57,reviewed,TM230_HUMAN,TM230
Q9NPP4,reviewed,NLRC4_HUMAN,NLRC4
Q7RTT5,reviewed,SSX7_HUMAN,SSX7
Q3ZAQ7,reviewed,VMA21_HUMAN,VMA21
Q9BXW9,reviewed,FACD2_HUMAN,FACD2
Q58F21,reviewed,BRDT_HUMAN,BRDT
Q6UWF7,reviewed,NXPE4_HUMAN,NXPE4
P45954,reviewed,ACDSB_HUMAN,ACDSB
Q33E94,reviewed,RFX4_HUMAN,RFX4
P16389,reviewed,KCNA2_HUMAN,KCNA2
Q9Y6C2,reviewed,EMIL1_HUMAN,EMIL1
Q13093,reviewed,PAFA_HUMAN,PAFA
O43172,reviewed,PRP4_HUMAN,PRP4
P51124,reviewed,GRAM_HUMAN,GRAM
Q96A56,reviewed,T53I1_HUMAN,T53I1
Q92824,reviewed,PCSK5_HUMAN,PCSK5
Q9BXW6,reviewed,OSBL1_HUMAN,OSBL1
P33151,reviewed,CADH5_HUMAN,CADH5
Q3SY56,reviewed,SP6_HUMAN,SP6
Q6ZXV5,reviewed,TMTC3_HUMAN,TMTC3
P07550,reviewed,ADRB2_HUMAN,ADRB2
Q15506,reviewed,SP17_HUMAN,SP17
P19838,reviewed,NFKB1_HUMAN,NFKB1
P17693,reviewed,HLAG_HUMAN,HLAG
Q9H6D7,reviewed,HAUS4_HUMAN,HAUS4
Q96II8,reviewed,LRCH3_HUMAN,LRCH3
Q02040,reviewed,AK17A_HUMAN,AK17A
Q6DN12,reviewed,MCTP2_HUMAN,MCTP2
Q8NBU5,reviewed,ATAD1_HUMAN,ATAD1
Q96A59,reviewed,MALD3_HUMAN,MALD3
Q04656,reviewed,ATP7A_HUMAN,ATP7A
Q7Z6E9,reviewed,RBBP6_HUMAN,RBBP6
Q9BXW7,reviewed,HDHD5_HUMAN,HDHD5
Q96KK3,reviewed,KCNS1_HUMAN,KCNS1
P04062,reviewed,GBA1_HUMAN,GBA1
P11055,reviewed,MYH3_HUMAN,MYH3
P62945,reviewed,RS32_HUMAN,RS32
Q96A58,reviewed,RERG_HUMAN,RERG
Q92826,reviewed,HXB13_HUMAN,HXB13
Q9BXW4,reviewed,MLP3C_HUMAN,MLP3C
O15209,reviewed,ZBT22_HUMAN,ZBT22
