InchiKey,Canonical_SMILES
VSJKWCGYPAHWDS-HXUWFJFHSA-N,CC[C@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O
PLDUPXSUYLZYBN-UHFFFAOYSA-N,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO
KXDROGADUISDGY-UHFFFAOYSA-N,C1=CC=C(C=C1)CN=C(N)NC(=O)C2=C(N=C(C(=N2)Cl)N)N
KDGFLJKFZUIJMX-UHFFFAOYSA-N,CCC1=CC2=C(C=C1N3CCC(CC3)N4CCOCC4)C(C5=C(C2=O)C6=C(N5)C=C(C=C6)C#N)(C)C
MMSNEKOTSJRTRI-LLVKDONJSA-N,C[C@H](C#CC1=CC=C(S1)CC2=CC=C(C=C2)F)N(C(=O)N)O
ZKRWPAYTJMRKLJ-BTYIYWSLSA-N,CC1=C(OC=N1)C2=NN=C(N2C)SCCCN3C[C@@H]4C[C@@]4(C3)C5=C(C=C(C=C5)C(F)(F)F)F
TWHSQQYCDVSBRK-UHFFFAOYSA-N,CC1=C2C(=CC=C1)C(=C3C=CC=C(C3=N2)C(=O)NC)NC4=C(C=C(C=C4)NS(=O)(=O)C)OC
WRADPCFZZWXOTI-BMRADRMJSA-N,CCCCCCCC/C(=C\CCCCCCCC(=O)O)/[N+](=O)[O-]
CUDUXVBVSUAOTK-VEOFNUSFSA-N,CC(C)[C@@H](C(=O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=C(C(=O)NC2=O)F)O)O)N
CUDUXVBVSUAOTK-UHFFFAOYSA-N,CC(C)C(C(=O)OCC1C(C(C(O1)N2C=C(C(=O)NC2=O)F)O)O)N
ZVXNYZWXUADSRV-UHFFFAOYSA-N,CCCCCCCCN=C1C=CN(C=C1)CCCCCCCCCCN2C=CC(=NCCCCCCCC)C=C2
IJTPLVAAROHGGB-UHFFFAOYSA-N,CC1=NC2=C(C=C1)C(=CC(=C2OC(=O)C3=CC=CC=C3)Br)Br
RJIWZDNTCBHXAL-UHFFFAOYSA-N,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-]
OYVAGSVQBOHSSS-UHFFFAOYSA-O,CC1=C(N=C(N=C1N)C(CC(=O)N)NCC(C(=O)N)N)C(=O)NC(C(C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O
ATEBXHFBFRCZMA-VXTBVIBXSA-N,C[C@H]1/C=C/C=C(\C(=O)NC2=C3C(=NC4(N3)CCN(CC4)CC(C)C)C5=C(C2=O)C(=C(C6=C5C(=O)[C@](O6)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)/C
KUXUALPOSMRJSW-IFWQJVLJSA-N,C1=CC(=CC=C1N/C(=N/C(=NCCCCCCN=C(/N=C(/NC2=CC=C(C=C2)Cl)\N)N)N)/N)Cl.C(O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O
GMJFVGRUYJHMCO-UHFFFAOYSA-N,C1=CC(=C(C=C1C(=N)N)Br)OCCCOC2=C(C=C(C=C2)C(=N)N)Br
HRHKSTOGXBBQCB-AQWFHMNCSA-N,CC1=C(C(=O)C2=C(C1=O)N3C[C@@H]4[C@H](C3([C@H]2COC(=O)N)OC)N4C)N
HRHKSTOGXBBQCB-UHFFFAOYSA-N,CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4C)N
HRHKSTOGXBBQCB-VFWICMBZSA-N,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4C)N
BODKAQWWZBLGOU-UHFFFAOYSA-N,C1=CC=C(C=C1)[Hg+]
